address,city,state,zip_code,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country
1930 LAFAYETTE RD,INDIANAPOLIS,IN,46222,39.793428,-86.203836,1,range_interpolation,1930,Lafayette Rd,Indianapolis,IN,Marion County,46222,US
2330 LAFAYETTE RD,INDIANAPOLIS,IN,46222,39.799657,-86.209796,1,range_interpolation,2330,Lafayette Rd,Indianapolis,IN,Marion County,46222,US
6269 38TH ST,INDIANAPOLIS,IN,46254,39.823361,-86.269541,1,range_interpolation,6269,38th Ct,Indianapolis,IN,Marion County,46254,US
3901 MERIDIAN ST,INDIANAPOLIS,IN,46208,39.825735,-86.156857,1,range_interpolation,3901,Meridian Ln,Indianapolis,IN,Marion County,46208,US
4838 COLLEGE AVE,INDIANAPOLIS,IN,46205,39.842057,-86.145791,1,range_interpolation,4838,College Ave N,Indianapolis,IN,Marion County,46205,US
4851 COLLEGE AVE,INDIANAPOLIS,IN,46205,39.842147,-86.145501,1,range_interpolation,4851,College Ave N,Indianapolis,IN,Marion County,46205,US
5212 COLLEGE AVE,INDIANAPOLIS,IN,46220,39.847321,-86.145917,1,range_interpolation,5212,College Ave N,Indianapolis,IN,Marion County,46220,US
4217 CENTRAL AVE,INDIANAPOLIS,IN,46205,39.832886,-86.149681,1,range_interpolation,4217,Central Ave,Indianapolis,IN,Marion County,46205,US
4401 CARROLLTON AVE,INDIANAPOLIS,IN,46205,39.835847,-86.143729,1,range_interpolation,4401,Carrollton Ave,Indianapolis,IN,Marion County,46205,US
8935 MERIDIAN ST,INDIANAPOLIS,IN,46260,39.917671,-86.157779,1,range_interpolation,8935,Meridian Ln,Indianapolis,IN,Marion County,46260,US
8103 CLEARVISTA PKWY,INDIANAPOLIS,IN,46256,39.901692,-86.037669,1,range_interpolation,8103,Clearvista Pkwy,Indianapolis,IN,Marion County,46256,US
6010 BROOKVILLE RD,INDIANAPOLIS,IN,46219,39.758033,-86.063837,1,range_interpolation,6010,Brookville Rd,Indianapolis,IN,Marion County,46219,US
990 ARLINGTON AVE,INDIANAPOLIS,IN,46219,39.781443,-86.064371,1,range_interpolation,990,N Arlington Ave,Indianapolis,IN,Marion County,46219,US
5913 10TH ST,INDIANAPOLIS,IN,46219,39.78147,-86.065501,1,range_interpolation,5913,10th St,Indianapolis,IN,Marion County,46219,US
41 SHORTRIDGE RD,INDIANAPOLIS,IN,46219,39.771617,-86.040354,1,range_interpolation,41,S Shortridge Rd,Indianapolis,IN,Marion County,46219,US
1801 SHADELAND AVE,INDIANAPOLIS,IN,46219,39.791953,-86.045487,1,range_interpolation,1801,Shadeland Ave,Indianapolis,IN,Marion County,46219,US
1525 SHADELAND AVE,INDIANAPOLIS,IN,46219,39.788427,-86.04529,1,range_interpolation,1525,Shadeland Ave,Indianapolis,IN,Marion County,46219,US
1860 ARLINGTON AVE,INDIANAPOLIS,IN,46218,39.792786,-86.064475,1,range_interpolation,1860,N Arlington Ave,Indianapolis,IN,Marion County,46218,US
5442 21ST ST,INDIANAPOLIS,IN,46218,39.796409,-86.076825,1,range_interpolation,5442,W 21st St,Indianapolis,IN,Marion County,46218,US
5501 21ST ST,INDIANAPOLIS,IN,46218,39.796121,-86.073856,1,range_interpolation,5501,W 21st St,Indianapolis,IN,Marion County,46218,US
1120 ARLINGTON AVE,INDIANAPOLIS,IN,46203,39.752329,-86.06404,1,range_interpolation,1120,S Arlington Ave,Indianapolis,IN,Marion County,46203,US
1609 NORTON AVE,INDIANAPOLIS,IN,46227,39.713713,-86.130989,1,range_interpolation,1609,Norton Ave,Indianapolis,IN,Marion County,46227,US
7320 US 31 INDIANAPOLIS,IN,46227,39.66047,-86.144954,1,range_interpolation,7320,Us Hwy 31,Indianapolis,IN,Marion County,46227,US
2755 MC CLURE ST,INDIANAPOLIS,IN,46241,39.725134,-86.22618,1,range_interpolation,2755,N McClure St,Indianapolis,IN,Marion County,46241,US
